name,location,area,price_range,veg,special_dishes,rating,vibe,reviews
Tunday Kababi,Aminabad,Central,300,false,Galouti Kebab;Biryani,4.7,Street Food,Legendary kebabs
Royal Cafe,Hazratganj,Central,250,true,Basket Chaat,4.5,Casual,Famous chaat
Dastarkhwan,Hazratganj,Central,400,false,Biryani;Korma,4.6,Family,Authentic Mughlai
Idris Biryani,Chowk,Old Lucknow,200,false,Biryani,4.4,Street Food,Budget biryani
Cafe Hons,Gomti Nagar,East,300,true,Pizza;Pasta,4.3,Cafe,Cozy
Cherry Tree Cafe,Gomti Nagar,East,400,true,Desserts;Italian,4.4,Romantic,Great ambience
Sky Glass Brewing,Gomti Nagar,East,800,false,Continental,4.5,Lounge,Rooftop vibe
Hazelnut Factory,Gomti Nagar,East,500,true,Desserts;Coffee,4.6,Cafe,Best desserts
Burger King,Phoenix Mall,East,300,true,Burgers,4.2,Fast Food,Quick bites
Dominos,Multiple,All,300,true,Pizza,4.1,Fast Food,Reliable
Moti Mahal,Hazratganj,Central,600,false,Butter Chicken,4.5,Fine Dining,Classic
Barbeque Nation,Gomti Nagar,East,1000,false,Buffet,4.4,Buffet,Unlimited
Cappuccino Blast,Gomti Nagar,East,400,true,Coffee,4.3,Cafe,Hangout
Baati Chokha,Gomti Nagar,East,250,true,Litti Chokha,4.5,Traditional,Authentic
Sakhawat,Chowk,Old Lucknow,300,false,Kebab,4.3,Street Food,Hidden gem
Pizza Hut,Multiple,All,400,true,Pizza,4.2,Fast Food,Dine-in
Wow Momo,Phoenix Mall,East,200,true,Momos,4.1,Fast Food,Snacks
Urban Terrace,Gomti Nagar,East,700,false,North Indian,4.4,Rooftop,Ambience
Jassi Paratha,Aliganj,North,200,true,Paratha,4.3,Casual,Tasty
Curry Leaf,Indira Nagar,East,300,true,Dosa,4.4,Casual,South Indian
Sharma Tea,Lalbagh,Central,100,true,Tea;Bun Maska,4.6,Street Food,Famous chai
Marksmen,Hazratganj,Central,200,true,Desserts,4.5,Dessert,Pastries
Prakash Kulfi,Aminabad,Central,100,true,Kulfi,4.7,Street Food,Iconic
Chocolate Room,Gomti Nagar,East,400,true,Chocolate,4.3,Cafe,Chocolate lovers
Mainland China,Gomti Nagar,East,900,false,Chinese,4.4,Fine Dining,Premium
Bikanervala,Gomti Nagar,East,250,true,Snacks,4.3,Casual,Family
Yellow Chilli,Gomti Nagar,East,700,false,Indian,4.4,Fine Dining,Chef special
Sagar Ratna,Hazratganj,Central,300,true,South Indian,4.2,Casual,Dosa
Aryan Delight,Alambagh,South,250,true,North Indian,4.1,Family,Budget
Kalika Hut,Aliganj,North,200,true,Fast Food,4.0,Casual,Snacks
The Terrace,Gomti Nagar,East,650,false,Chinese,4.3,Rooftop,Good view
Open Air,Gomti Nagar,East,500,true,Snacks,4.2,Cafe,Chill vibe
Mocha Cafe,Gomti Nagar,East,600,true,Coffee,4.4,Cafe,Popular
Cafe Repertwahr,Gomti Nagar,East,500,true,Italian,4.3,Cafe,Theatre vibe
Lord of Drinks,Gomti Nagar,East,900,false,Continental,4.5,Lounge,Premium
Pirates Deck,Gomti Nagar,East,800,false,Bar Food,4.3,Lounge,Theme
The Square,Gomti Nagar,East,1000,false,Buffet,4.5,Fine Dining,Hotel dining
Clarks Awadh,Hazratganj,Central,1200,false,Indian,4.6,Fine Dining,Luxury
Capoor & Sons,Gomti Nagar,East,400,true,Desserts,4.4,Cafe,Trendy
Cafe 1991,Gomti Nagar,East,350,true,Snacks,4.2,Cafe,Students
Food Chowk,Aliganj,North,200,true,Street Food,4.1,Street,Budget
Rovers Cafe,Gomti Nagar,East,300,true,Snacks,4.2,Cafe,Students
Cafe Delhi Heights,Gomti Nagar,East,600,false,Burgers,4.3,Casual,Modern
The Mughal's Dastarkhwan,Chowk,Old,350,false,Mughlai,4.5,Family,Authentic
Naushijaan,Chowk,Old,400,false,Kebab,4.6,Street,Traditional
Netram Kachori,Chowk,Old,150,true,Kachori,4.5,Street,Breakfast
Jain Chat,Hazratganj,Central,200,true,Chaat,4.4,Street,Popular
Bombay Pav Bhaji,Hazratganj,Central,250,true,Pav Bhaji,4.3,Street,Good taste
Aryans Restaurant,Indira Nagar,East,300,true,North Indian,4.2,Family,Affordable
Foodie Junction,Gomti Nagar,East,350,true,Fast Food,4.1,Casual,Quick
Taste of China,Gomti Nagar,East,400,false,Chinese,4.2,Casual,Decent
Roll Express,Aliganj,North,200,false,Rolls,4.1,Street,Quick
Kathi Nation,Gomti Nagar,East,250,false,Kathi Roll,4.2,Fast Food,Popular
Burger Singh,Gomti Nagar,East,300,true,Burgers,4.3,Fast Food,Indian twist
Chai Point,Gomti Nagar,East,150,true,Tea,4.2,Cafe,Chill
Tea Trails,Gomti Nagar,East,250,true,Tea,4.3,Cafe,Variety
Waffle House,Gomti Nagar,East,300,true,Waffles,4.4,Dessert,Sweet lovers
Frozen Bottle,Gomti Nagar,East,350,true,Milkshake,4.3,Dessert,Trendy
Cream Stone,Gomti Nagar,East,300,true,Ice Cream,4.4,Dessert,Cold treats
Naturals Ice Cream,Gomti Nagar,East,250,true,Ice Cream,4.5,Dessert,Natural taste
KFC,Gomti Nagar,East,400,false,Fried Chicken,4.2,Fast Food,Popular
Subway,Gomti Nagar,East,300,true,Subs,4.1,Fast Food,Healthy
Haldiram's,Gomti Nagar,East,300,true,Snacks,4.3,Casual,Trusted
Madhurima,Hazratganj,Central,250,true,South Indian,4.2,Casual,Simple
Ritz Continental,Gomti Nagar,East,800,false,Multi Cuisine,4.4,Fine Dining,Premium
The Lantern,Gomti Nagar,East,700,false,Asian,4.3,Fine Dining,Stylish
BBQ Company,Gomti Nagar,East,900,false,Buffet,4.3,Buffet,Grill
Masaki,Gomti Nagar,East,1000,false,Japanese,4.5,Fine Dining,Sushi
Vintage Machine,Gomti Nagar,East,700,false,Italian,4.3,Cafe,Ambience
Cafe Coffee Day,Multiple,All,250,true,Coffee,4.1,Cafe,Standard
CCD Lounge,Gomti Nagar,East,300,true,Coffee,4.2,Cafe,Relaxed
Food Adda,Indira Nagar,East,200,true,Snacks,4.0,Casual,Budget
Snack Shack,Aliganj,North,150,true,Fast Food,4.0,Street,Cheap
Street Bites,Chowk,Old,100,true,Street Food,4.1,Street,Local
Desi Tadka,Gomti Nagar,East,350,false,Indian,4.2,Family,Desi taste
Urban Bites,Gomti Nagar,East,400,true,Snacks,4.3,Cafe,Modern
Cafe Beans,Gomti Nagar,East,300,true,Coffee,4.2,Cafe,Calm
Food Plaza,Gomti Nagar,East,350,true,Multi Cuisine,4.1,Casual,Variety
Quick Bites,Hazratganj,Central,200,true,Snacks,4.0,Street,Fast
Spice Hub,Indira Nagar,East,300,false,Indian,4.2,Family,Spicy
Spice Garden,Gomti Nagar,East,350,true,Paneer Tikka;Dal Makhani,4.2,Family,Good food
Urban Tadka,Hazratganj,Central,400,false,Chicken Curry;Naan,4.3,Casual,Tasty
Royal Biryani,Chowk,Old Lucknow,250,false,Biryani,4.4,Street Food,Authentic
Green Leaf,Indira Nagar,East,300,true,South Indian;Dosa,4.1,Casual,Simple
Food Fusion,Gomti Nagar,East,450,true,Pizza;Pasta,4.3,Cafe,Cozy
Taste Point,Aliganj,North,200,true,Snacks;Chaat,4.0,Street,Budget
Mughal Treat,Chowk,Old Lucknow,500,false,Kebab;Korma,4.5,Family,Rich taste
Cafe Vibes,Gomti Nagar,East,400,true,Coffee;Desserts,4.4,Cafe,Relaxed
Street Zaika,Aminabad,Central,150,true,Kachori;Chaat,4.3,Street,Local fav
Spicy Hub,Indira Nagar,East,350,false,Chicken Tikka,4.2,Casual,Good
Food Court Plus,Gomti Nagar,East,300,true,Fast Food,4.1,Casual,Quick
Desi Kitchen,Alambagh,South,250,true,North Indian,4.2,Family,Homely
Urban Rasoi,Gomti Nagar,East,500,false,Butter Chicken,4.4,Modern,Popular
Snack Junction,Aliganj,North,150,true,Snacks,4.0,Street,Cheap
Cafe Chill,Gomti Nagar,East,350,true,Coffee;Sandwich,4.3,Cafe,Students
Royal Feast,Hazratganj,Central,600,false,Mughlai,4.5,Fine Dining,Premium
Food Express,Gomti Nagar,East,300,true,Burgers,4.1,Fast Food,Quick
Green Bites,Indira Nagar,East,250,true,Salads,4.2,Casual,Healthy
Kebab Corner,Chowk,Old Lucknow,200,false,Kebab,4.4,Street,Authentic
Pizza Spot,Gomti Nagar,East,400,true,Pizza,4.2,Casual,Good
Cafe Mocha,Gomti Nagar,East,500,true,Coffee,4.3,Cafe,Chill
Taste King,Aliganj,North,300,false,Rolls,4.2,Fast Food,Popular
Food Lovers,Gomti Nagar,East,350,true,Snacks,4.1,Casual,Variety
Desi Zaika,Indira Nagar,East,300,false,Indian,4.2,Family,Spicy
Snack Hub,Alambagh,South,200,true,Fast Food,4.0,Street,Budget
Urban Cafe,Gomti Nagar,East,450,true,Italian,4.3,Cafe,Modern
Biryani House,Chowk,Old Lucknow,300,false,Biryani,4.5,Street,Classic
Green Cafe,Gomti Nagar,East,400,true,Vegan,4.2,Cafe,Healthy
Street Delight,Aminabad,Central,150,true,Chaat,4.3,Street,Famous
Food Street,Gomti Nagar,East,300,true,Fast Food,4.1,Casual,Quick
Royal Dine,Hazratganj,Central,700,false,Indian,4.4,Fine Dining,Premium
Cafe Bliss,Gomti Nagar,East,500,true,Desserts,4.3,Cafe,Sweet
Snack Stop,Aliganj,North,200,true,Snacks,4.0,Street,Cheap
Taste Delight,Indira Nagar,East,350,false,Chicken Curry,4.2,Casual,Tasty
Food Plaza,Gomti Nagar,East,400,true,Multi Cuisine,4.1,Casual,Variety
Desi Kitchen Plus,Alambagh,South,300,true,North Indian,4.2,Family,Homely
Urban Spice,Gomti Nagar,East,450,false,Tandoori,4.3,Casual,Good
Cafe Aroma,Gomti Nagar,East,500,true,Coffee,4.4,Cafe,Relaxing
Snack Corner,Aliganj,North,150,true,Fast Food,4.0,Street,Budget
Taste Cafe,Gomti Nagar,East,350,true,Snacks,4.2,Cafe,Cozy
Ciwaz Veg & Non Veg,Ahmamau,Sultanpur Road,350,false,Chicken Masala;Paneer,5.0,Casual,Great presentation
Samuh Cafe,Sushant Golf City,South,400,true,Coffee;Sandwiches,4.6,Cafe,Quiet place for coding
Asia Seven,Phoenix Palassio,Gomti Nagar Ext,800,false,Sushi;Dim sums,4.8,Fine Dining,Premium mall dining
Biryani By MBA Wala,Sushant Golf City,South,250,false,Handi Biryani,5.0,Street Food,Authentic and budget
Jamie Oliver's Pizzeria,Phoenix Palassio,Gomti Nagar Ext,700,true,Pizza,4.5,Casual,Modern and trendy
Plan B Food Court,Sushant Golf City,South,300,true,Multi-cuisine,5.0,Casual,Huge variety car-dine
Just Suraa Bar & Restro,Arjunganj,Sultanpur Road,600,false,Tandoori Platters,5.0,Lounge,Excellent for groups
Gola Sizzlers,Lulu Mall,Sushant Golf City,1000,false,Sizzlers,4.5,Family,Iconic sizzlers near campus
Punjab Grill,Lulu Mall,Sushant Golf City,1000,false,Dal Panjratni,4.9,Fine Dining,Best North Indian
Oudhyana,Vibhuti Khand,Gomti Nagar,1500,false,Galouti Kebab,4.8,Fine Dining,Royal Awadhi experience
The Jail Cafe,Vikas Nagar,North,450,true,Shakes;Burgers,4.1,Cafe,Themed prison cafe
Mashup Cafe And Bar,Vibhuti Khand,Gomti Nagar,750,false,Finger Food,4.3,Lounge,Live music
Black Brew House,Vibhuti Khand,Gomti Nagar,1000,false,Craft Beer;Continental,4.4,Lounge,Great rooftop
Giriraj Cafe,Vrindavan Colony,South,900,true,Thali,4.2,Casual,Family dining
Citrus Cafe,Kanpur Road,South,1500,false,Multi-cuisine,4.5,Fine Dining,Lemon Tree hotel
Wings Of Fire,Indira Nagar,East,750,true,Chicken Wings,4.0,Casual,Spicy treats
Lucknow Kitchen,Nirala Nagar,North,550,true,North Indian,4.3,Casual,Clean and tasty
Skylords,Gomti Nagar,East,650,false,Chinese,4.1,Rooftop,City view
Tehzeeb Restaurant,Vikas Nagar,North,500,true,Kebab,4.2,Traditional,Affordable
Swaad Anusaar,Arjunganj,Sultanpur Road,300,true,Thali,4.0,Casual,Student budget
Lucknow Darbar,Ahmamau,Sultanpur Road,400,false,Mughlai,4.2,Casual,Near IIITL
Biryani Bowl,Gomti Nagar Ext,East,250,false,Biryani,4.1,Takeaway,Quick meal
Bhukkad Breakfast,Arjunganj,Sultanpur Road,150,true,Paratha;Poha,4.4,Street,Morning spot
Siddhu Punjabi Bhojnalaya,Sushant Golf City,South,200,true,Dal Makhani,4.2,Casual,Dhaba style
Meet-Preet Bhojanalya,Gomti Nagar Ext,East,250,true,North Indian,4.0,Casual,Student meals
Pablo's Kitchen,Sushant Golf City,South,400,true,Pasta;Pizza,4.3,Cafe,Modern
Joyful Food Cafe,Ahmamau,Sultanpur Road,300,true,Sandwiches,4.5,Cafe,Affordable
Hudaba Classic,Sushant Golf City,South,500,false,Biryani,4.2,Family,Near Lulu Mall
Mutual Flavours,Gomti Nagar,East,350,true,Chinese,4.1,Casual,Quick service
Anjali Khana Khajana,Golf City,South,250,true,Home Style Food,4.4,Casual,Healthy
Sardar Ji Ke Chhole Bhature,Lalbagh,Central,150,true,Chhole Bhature,4.6,Street,Legendary
Bajpai Puris,Hazratganj,Central,120,true,Poori Sabji,4.7,Street,Iconic breakfast
GPO Dahi Bade,Hazratganj,Central,100,true,Dahi Wada,4.8,Street,Must try
Nukkad Cafe,Kapoorthala,North,450,true,Coffee;Pasta,4.2,Cafe,Student hub
Maharaja Chaap,Aliganj,North,200,true,Soya Chaap,4.3,Street,Best chaap
Chennai Hot Chips,Aliganj,North,150,true,Banana Chips,4.1,Snacks,Quick bites
King Soya Chaap,Engineering College,North,200,true,Afghani Chaap,4.0,Street,Student favorite
The Flavoursome Cuisine,Jankipuram,North,250,true,Momo;Noodles,4.2,Casual,Affordable
Billard's Cafe,Gomti Nagar,East,200,true,Shakes;Snacks,4.9,Cafe,Fun environment
Bikaner Express,Gomti Nagar,East,300,true,Sweets;Snacks,4.7,Casual,Reliable
Champaran Zaika,Gomti Nagar,East,600,false,Handi Meat,4.5,Traditional,Authentic
The Manish Eating Point,Gomti Nagar,East,400,false,Roasted Chicken,4.2,Casual,Local fav
Molecule Air Bar,Gomti Nagar,East,1200,false,Cocktails;Fusion,4.6,Lounge,Trendy
Vint Club,Sushant Golf City,South,800,false,Continental,4.8,Lounge,Luxury
Poseidon,Sushant Golf City,South,700,false,Asian,4.5,Fine Dining,Ranbirs
Ten 11 Restro,Gomti Nagar,East,500,false,North Indian,4.1,Lounge,Chill
La Pino'z Pizza,Arjunganj,Sultanpur Road,400,true,Pizza,4.3,Fast Food,Cheesy
Pizzatarian,Arjunganj,Sultanpur Road,350,true,Pizza,4.2,Fast Food,Budget friendly
Lucknow Sandwich Co,Nilmatha,South,200,true,Sandwiches,4.4,Takeaway,Quick
Delicious Delight,Sushant Golf City,South,300,true,Cakes;Snacks,4.1,Bakery,Fresh
The Pizza Dine,Arjunganj,Sultanpur Road,350,true,Pizza,4.0,Casual,Student spot
Yo Yo Foodiez,Sushant Golf City,South,250,true,Fast Food,4.1,Street,Affordable
Moonlight Veg Momo,Nilmatha,South,150,true,Momos,4.3,Street,Tasty
The Social Kettle,Vrindavan Colony,South,400,true,Tea;Snacks,4.2,Cafe,Chill
Viceroy Club,Chakganjaria,South,900,false,Multi-cuisine,4.5,Lounge,Premium
Shri Balaji Hotel,Sultanpur Road,South,250,true,Thali,4.4,Casual,Home style
New Janta Dhaba,Sultanpur Road,South,200,true,Tandoori Roti;Dal,4.3,Casual,Dhaba
Kapoorthala Ki Chaat,Kapoorthala,North,100,true,Aloo Tikki,4.5,Street,Local fav
